"id","PLR","PDC","PS","UDC","PVL","PBD","PES","Autres partis","canton"
"1001",14.0922128089925,24.1838950876204,22.0170101298141,27.5444733657178,1.9347779233052,2.04585771838785,5.26054014622743,2.92,"FR"
"1002",16.2757211203493,24.0396674253333,19.8383575642157,29.7970179757536,1.53281620140276,0.831436666821497,5.06526081099912,2.62,"FR"
"1003",20.1394368588751,24.2366431275408,22.0032561902574,24.4214269304913,2.21341030993737,0.766103658719298,4.28698422845271,1.93,"FR"
"1004",12.8814072634581,23.3773313479545,30.5585139943972,18.6376599449815,3.09113393735961,0.752088433485602,6.99038437271282,3.71,"FR"
"1005",16.6948966266275,13.4921968942734,21.37676006258,31.9222663270452,5.84812712532809,2.86394021282373,4.35603366907591,3.45,"FR"
"1006",9.06865226555237,25.7517326436507,19.6909313477344,32.3215123931191,3.96966377969424,1.48827876924776,3.61439129674456,4.09,"FR"
"1007",13.0675560869702,20.8741071709512,23.8475818885498,31.6226676316038,2.20572039898052,0.937667159623675,4.92117932097794,2.52,"FR"
"101",15.7782919819827,3.95276640947307,18.561582358221,33.9317682128476,8.72487421668492,4.19338103904018,5.76799874834279,9.09,"ZH"
"102",13.0909875622867,2.52481657315494,13.9566249460509,41.3002216816416,7.09822654686703,6.2526974536038,5.6997194648252,10.08,"ZH"
"103",13.5917439866464,3.73018641559136,17.447609329256,39.4798098678334,7.08887831150117,4.48108132779542,4.30323994079561,9.88,"ZH"
"104",12.1599544952478,3.2956552221333,15.4138088403564,46.082292169611,6.26933786617105,3.62728433194658,4.34808489811036,8.8,"ZH"
"105",12.0906842590195,4.42587718438438,15.3729484559058,37.9768450354877,6.79471610354423,4.4242263536554,5.94711770113567,12.97,"ZH"
"106",19.3565843855217,7.05263551039447,18.131148140231,31.2865689930698,7.80771593337301,3.55456771208725,5.52737623459464,7.28,"ZH"
"107",26.423480495774,4.07720561437757,16.00870868682,31.3715547921546,7.97749622084824,2.83119471901175,4.86623228869233,6.44,"ZH"
"108",12.419173651288,3.07825285583922,16.0157391149835,39.2315360544996,7.36841154201765,4.86704875029741,5.72086411535994,11.3,"ZH"
"109",15.1802951757649,3.97493367855683,18.7528263696154,33.9071652953652,9.42518191542615,5.43662523608499,5.55624969267639,7.77,"ZH"
"110",12.4625377468281,3.68521787867569,21.6674246296596,29.9190126931247,8.53236863344964,4.26027599971163,7.19616750783394,12.28,"ZH"
"1101",20.9588405199092,23.5661233752837,11.0893336084176,34.2273571281205,3.00701464823602,2.64338766247163,2.3571281204869,2.15,"SO"
"1102",18.6171213546566,30.8058952649733,8.9401066164942,33.2831608654751,1.85010975227344,2.10097209156475,2.08215741611791,2.32,"SO"
"1103",32.6790561703905,5.31426185007308,16.579661724786,27.6884527041136,3.84213823345166,6.86991021089998,4.78701190227605,2.24,"SO"
"1104",17.5924844009254,13.5075132621346,19.0297025075366,27.7488256876446,4.92393260265009,2.64775303217966,11.8950246547171,2.65,"SO"
"1105",17.2377599440205,15.8907524436378,22.11847543242,31.9039601145831,2.82959043099867,2.50814545931644,4.2378255450351,3.27,"SO"
"1106",20.3704713206354,13.5715921108579,23.7742719769736,27.6425246126841,3.20864360397292,4.37304434099061,4.6019995420896,2.46,"SO"
"1107",23.3392552757304,11.4265479077137,20.1197992941685,29.0435262766187,3.72242095407294,4.83038436607207,5.03925287494298,2.48,"SO"
"1108",19.8178205037677,12.4802033631586,23.4361917827565,28.8430694118003,3.56793398767313,2.7669898015797,5.25253951761775,3.84,"SO"
"1109",24.9921218487395,11.1607142857143,28.421743697479,14.6428571428571,4.48529411764706,2.77048319327731,11.7935924369748,1.73,"SO"
"111",16.6467858727914,6.90834241362176,17.9925362240843,37.2482523823777,6.7788837954082,3.41104290860192,4.20593062020705,6.81,"ZH"
"1110",24.8898678414097,18.0950473902016,10.1788813242558,35.7028434120945,2.59644907222,2.27606461086637,4.26511814177012,2,"SO"
"112",14.2323535309019,3.78193721579188,31.3125044284832,18.0757744255032,9.1736312155175,2.04589642299163,10.6890644480615,10.69,"ZH"
"1200",21.3567243052809,6.44749613545673,33.3127224359205,17.6496387101413,4.80317791278714,1.10040622640831,11.1809325232771,4.15,"BS"
"1301",16.9069067238773,10.8144595055829,23.9145009508021,26.8906333804671,3.14252279487054,3.0175776488371,12.026732166366,3.29,"BL"
"1302",13.1639778473393,21.232843727426,15.9330604382374,34.8182037081628,1.70719961473634,2.5066217192391,8.85143269925355,1.79,"BL"
"1303",15.4473891367095,5.20685734277967,23.1776436630806,30.6262573252865,2.68870812560133,2.66946558208694,16.3893991078457,3.79,"BL"
"1304",14.602878620127,3.67228017015325,18.7739642211992,33.3162403123361,2.00221432317464,2.39030359536158,21.883340131694,3.36,"BL"
"1305",12.6223913165109,4.65226878531864,18.3125384658423,39.344262295082,2.19325239187601,3.01572203882952,14.8212387399989,5.04,"BL"
"1401",12.0859671302149,0,24.9810366624526,46.5486725663717,0,0,2.57901390644753,13.81,"SH"
"1402",14.1145490454246,0,22.4094799210007,52.5082290980909,0,0,3.12047399605003,7.85,"SH"
"1403",12.7039204516029,0,32.1145579781449,42.1150758713553,0,0,3.93339893313999,9.13,"SH"
"1404",11.7625899280576,0,20.8273381294964,49.2805755395683,0,0,1.94244604316547,16.19,"SH"
"1405",11.1390667886551,0,25.3888380603843,53.9341262580055,0,0,3.22506861848124,6.31,"SH"
"1406",15.658676050143,0,22.9821860567407,48.3835495931383,0,0,1.42951396525181,11.55,"SH"
"1501",28.8898003828275,0,23.174733388023,46.7049494120864,0,0,0,1.23,"AR"
