"id","PLR","PDC","PS","UDC","PVL","PBD","PES","Autres partis","canton","Electeurs inscrits","Participation en %"
"1721",13.1712743,19.1124154,22.8986933,24.430265,6.80701227,3.11403424,7.76133654,2.7,"SG",75295,47.0071054
"1722",12.6547395,19.4423882,19.2789452,31.9725298,5.29100917,3.07976458,5.34964343,2.93,"SG",25084,46.7509169
"1723",11.6211614,24.5673216,12.2343233,36.8241336,5.13523065,2.80879538,4.5583261,2.25,"SG",40539,45.9779472
"1724",14.7177193,11.7430176,19.1914558,32.1989597,6.21510979,4.88224959,5.04842437,6,"SG",21351,46.5177275
"1725",9.8060901,22.6188896,14.4075794,35.0799971,6.03774976,5.55555556,4.55798865,1.94,"SG",24922,46.7418345
"1726",9.37850685,22.5291268,12.9485343,32.7948945,7.24315053,4.59049148,7.8868138,2.63,"SG",42122,44.5016856
"1727",12.3803055,22.0116409,12.6663574,35.8282805,3.85452216,3.86777553,5.69121854,3.7,"SG",30273,51.104945
"1728",13.7269335,19.286254,15.0188115,32.3218751,5.87557155,3.93522305,6.42238995,3.41,"SG",45367,48.3589393
"1821",17.0665459,24.5812585,10.5553041,17.692772,5.6360344,22.3253357,1.87113324,0.27,"GR",5916,46.8728871
"1822",4.10098376,41.8395164,15.9890957,29.9514045,1.8371459,5.45217494,0.78226858,0.05,"GR",3751,47.0541189
"1823",11.5831926,8.05196023,17.15438,20.6152692,8.77884074,31.0026261,2.18533108,0.63,"GR",9084,48.2937032
"1824",11.6250353,14.8814564,18.3813153,23.4652837,9.58227491,20.018346,1.89810895,0.15,"GR",12781,45.4502778
"1825",9.04947917,7.12890625,13.8346354,28.2291667,5.48177083,32.9231771,2.78645833,0.57,"GR",6797,46.4763866
"1826",9.9927394,10.4122408,15.9706349,30.3251136,10.8828354,19.9021163,1.67800575,0.84,"GR",17246,44.5436623
"1827",23.9845954,6.30961444,14.813488,24.8846894,7.92620124,19.2199185,2.06439479,0.8,"GR",11272,41.1728176
"1828",11.1972741,22.4180472,27.035601,24.1452238,1.7624251,10.9152861,2.33815063,0.19,"GR",5672,32.6868829
"1829",10.9373721,12.237413,20.9349161,22.7425297,11.0519853,19.3598035,2.47728203,0.26,"GR",28303,43.7586122
"1830",14.6410172,3.67738497,12.7604497,32.9543436,8.29886049,23.9677182,2.78405198,0.92,"GR",17799,45.9632564
"1831",7.24177582,47.9627037,7.42925707,15.6759324,5.09449055,14.3385661,1.82731727,0.43,"GR",16520,50.4176755
"1901",13.8186676,6.62543725,21.1833909,30.5358343,5.66134416,6.03276436,8.29890144,7.84,"AG",46429,51.0478365
"1902",12.0091608,13.3089621,19.0840895,30.3246046,6.94460289,5.50721632,7.75576873,5.07,"AG",79928,51.3787409
"1903",11.0068697,13.5590784,16.4428489,36.6606016,6.35520552,6.15038856,5.90081894,3.92,"AG",44938,48.1107303
"1904",12.8832767,7.62557098,18.4071049,34.4713494,5.67207098,6.54589944,8.03234549,6.36,"AG",30223,52.0894683
"1905",12.5089204,4.41558773,14.8403252,43.4518045,3.58854114,5.63959119,5.30762565,10.25,"AG",24359,45.5396363
"1906",7.98547565,16.1255277,15.8353324,36.6973146,4.39230326,6.75907225,7.99495439,4.21,"AG",19801,48.5935054
"1907",12.7856309,6.15963916,17.726632,37.8478515,5.93935001,6.30663284,6.40328621,6.83,"AG",35044,49.8088118
"1908",8.21656307,19.8009324,13.043886,37.7431411,5.17361483,6.30760369,6.37123567,3.34,"AG",21828,48.1262598
"1909",10.0915913,11.4832389,20.269011,30.5947914,5.94178376,7.26906006,9.72927242,4.62,"AG",27916,41.3383006
"1910",10.872583,5.13814158,19.2475194,35.9065553,4.89420073,7.41931821,7.14570888,9.38,"AG",42457,44.9631392
"1911",8.34626298,16.4870494,15.0871528,43.4156637,3.51476776,4.55123635,5.1292266,3.47,"AG",19535,51.7686204
"2011",12.9293832,12.0265611,15.1155663,36.4934236,5.21772443,4.52560337,7.21491508,6.48,"TG",32334,41.8630544
"2012",10.8886685,12.8479108,13.5497162,38.0316966,5.98457909,5.2049853,7.49162279,6,"TG",41193,48.9476367
"2013",12.094135,13.289271,14.6127438,37.3123075,4.20944559,5.08855236,8.76219199,4.63,"TG",22399,47.7298094
"2014",7.70161821,19.6026839,8.82778582,42.2247073,5.79265886,4.68227865,5.68740955,5.48,"TG",28328,46.2757696
"2015",12.4826485,14.8935948,8.63348397,40.1365159,4.42006826,5.16005135,5.72886769,8.54,"TG",33663,49.056828
"2101",30.7064726,19.5016038,19.3272473,7.28431614,0,0,6.47174932,16.71,"TI",29944,54.4716805
"2102",25.0218315,26.7625313,17.4885021,9.88531175,0,0,3.25435175,17.59,"TI",4534,50.4631672
"2103",24.9676724,32.112069,14.7234195,7.20905172,0,0,3.46982759,17.52,"TI",6121,59.6307793
"2104",25.476005,19.7285307,16.5032227,11.0950851,0,0,6.95092819,20.25,"TI",41065,50.8462194
"2105",23.6601851,16.9769678,16.2333357,11.0330774,0,0,7.05718591,25.04,"TI",86102,53.7629788
"2106",22.3108695,23.5620972,15.4997511,7.992385,0,0,7.34255385,23.29,"TI",32884,59.7615862
"2107",25.2295692,22.116646,18.0429002,8.30703776,0,0,5.58057082,20.72,"TI",7132,52.8883904
"2108",22.7097369,24.5868601,14.9306155,8.40674843,0,0,5.82138539,23.54,"TI",4321,53.8995603
"2221",20.7444341,3.0599361,22.839363,26.3792259,3.1037415,0.81684189,9.05418986,14,"VD",21630,42.2653722
"2222",19.9691681,2.78527615,21.4710837,29.6506371,4.20198131,1.26319624,8.50478414,12.15,"VD",22060,40.3399819
"2223",14.8615742,6.90764299,21.5380169,29.9200968,5.49903399,0.86378986,10.8043307,9.61,"VD",25315,43.0298242
"2224",15.0722733,2.83546326,26.8506501,26.0314053,3.99000488,0.56520678,10.2619143,14.39,"VD",50740,41.170674
"2225",13.6431817,4.58935277,30.5635172,17.2787008,4.92332103,0.56095101,14.5789434,13.86,"VD",77477,41.2057772
"2226",19.699924,4.43074952,22.1182002,20.0631406,5.78366089,0.75177385,12.3064253,14.85,"VD",34643,47.7960916
"2227",16.9128741,4.66887727,24.3903295,23.7876768,5.83967859,0.89272138,11.3310993,12.18,"VD",44360,44.8219116
"2228",16.3941182,5.93667546,20.1396342,24.8806736,7.24259583,1.04770093,10.1535679,14.21,"VD",46898,41.7459167
"2229",14.9860116,4.88782248,29.1494373,22.3288082,3.90888127,0.704582,10.7599947,13.27,"VD",31029,37.7872313
"2230",16.8076453,5.062449,25.8556217,20.4264426,5.09915478,1.16737511,11.9828007,13.6,"VD",42177,41.6245821
"2301",4.36610031,51.2316275,13.6880047,26.6653081,0,0.39738136,3.4401508,0.21,"VS",18352,64.0475153
"2302",26.9691453,32.2543636,17.0763794,16.5088495,0,0.37937312,4.78499641,2.03,"VS",15620,63.6427657
"2303",22.70443,45.8021522,8.82176217,16.3762495,0,0.53531436,3.50412411,2.26,"VS",8923,61.3694946
"2304",4.2222999,56.7983223,11.9119189,22.2649423,0,0.83886753,3.75393219,0.21,"VS",3474,60.880829
"2305",16.7548595,40.2770761,18.0870583,17.5286516,0,0.51586141,5.28890898,1.55,"VS",7944,70.3801611
"2306",1.71895337,69.7724519,10.0197478,15.8588035,0,0.39271128,2.0263902,0.21,"VS",8722,76.3242376
"2307",32.3984968,26.1135982,14.6275382,18.0797654,0,0.58750983,5.57308914,2.62,"VS",25218,61.6305813
"2308",29.1344967,25.7911746,13.0712733,24.4221165,0,0.67218991,5.79705036,1.11,"VS",24813,52.2226252
"2309",2.73744903,70.0361011,7.69030985,16.5207906,0,0.36360803,2.47772901,0.17,"VS",8216,69.352483
"2310",26.0237298,33.2917554,15.9780955,16.4131427,0,0.422878,6.02068756,1.85,"VS",8006,61.8411192
"2311",22.0011177,29.8508636,18.7241325,19.9963327,0,1.29228298,6.43085413,1.7,"VS",27477,63.1473596
"2312",20.7457065,31.524932,20.8637437,16.9486944,0,0.59829522,7.53365411,1.78,"VS",26983,62.3577808
"2313",6.38873572,60.9956271,7.12737718,22.8388967,0,0.53602801,1.94149857,0.17,"VS",18353,63.0033237
"2401",33.8440498,4.13070398,23.5256067,19.8273791,0,1.89809082,10.2925684,6.48,"NE",25257,44.3718573
"2402",15.4388156,2.92766679,26.6433286,22.4357831,0,1.17953978,15.0040136,16.37,"NE",23464,40.1295602
"2403",22.2038514,2.4119821,18.6636841,24.0371523,0,0.96771056,10.357907,21.36,"NE",9573,44.8971064
"2404",28.2509644,4.21159746,27.2637526,17.7045047,0,1.68889159,12.5892288,8.29,"NE",32247,42.2674978
"2405",31.2776249,2.8563089,23.0464515,23.3049787,0,1.38854141,11.437745,6.69,"NE",10824,45.7132299
"2406",29.0367893,2.21404682,23.1237458,33.3645485,0,0.87625418,4.52842809,6.86,"NE",8561,36.2340848
"241",9.23906796,4.88033382,24.5585801,29.6624977,1.78004874,5.08265128,8.48353872,16.31,"BE",35930,38.19371
