"id","PLR","PDC","PS","UDC","PVL","PBD","PES","Autres.partis","canton"
1002,3.3307373203493,-0.285344174666701,-3.5920631357843,3.2135690757536,-0.36038767859724,0.223484746821497,0.0837536409991193,-2.61,"FR"
1003,2.9041792588751,3.8999802275408,-6.1125866097426,2.3800606304913,0.28412234993737,-0.031706111280702,-0.0956222315472894,-3.23,"FR"
1004,2.4014174634581,3.5652689479545,-2.9993387056028,2.3017520449815,-0.25434610264039,-0.258779856514398,0.42797401271282,-5.19,"FR"
1005,0.399411626627501,-0.6938402057266,0.797473262580002,7.4756583270452,-1.41594600467191,-2.49486875717627,0.0357221190759107,-4.1,"FR"
1006,-1.44173123444763,3.3269543436507,1.0121049477344,9.3710707931191,-0.19624210030576,-1.76564449075224,0.49692908674456,-10.81,"FR"
1007,3.0028994869702,2.7240774709512,-5.2050011114502,4.4306111316038,-0.86546783101948,0.149252569623675,-0.57463119902206,-3.67,"FR"
101,4.0753783819827,-0.75385539052693,1.970140858221,2.6717669128476,-3.85955718331508,-2.14041567095982,-2.01631916165721,0.0500000000000007,"ZH"
102,3.9349332922867,-0.59283537684506,1.0807691460509,1.0865170816416,-2.97470765313297,-2.0738730763962,-1.0414940951748,0.58,"ZH"
103,3.3951843866464,-0.91810519440864,1.550770929256,2.2051683678334,-3.52890478849883,-2.31868272220458,-0.90585430920439,0.520000000000001,"ZH"
104,3.0001018352478,-1.2906801478667,1.2629358403564,2.811147669611,-3.70833614382895,-1.84180790805342,-0.51306436188964,0.280000000000001,"ZH"
105,3.5626676290195,-0.53275306561562,1.4519191559058,1.3433897354877,-3.58530079645577,-1.5543523463446,-1.19663676886433,0.51,"ZH"
106,4.6246128855217,-0.39895254960553,1.483757540231,1.4694387930698,-3.27863336662699,-2.28520962791275,-1.43754298540536,-0.18,"ZH"
107,5.652501595774,-0.80407802562243,2.11122348682,0.422671192154603,-4.24613997915176,-1.71033608098825,-1.46567017130767,0.04,"ZH"
108,2.963307231288,-0.65129857416078,1.4670038149835,2.2964225544996,-3.49118805798235,-1.96831412970259,-1.29430135464006,0.680000000000001,"ZH"
109,4.2408328757649,-0.68973158144317,2.1816711696154,1.9531665953652,-3.76641558457385,-2.31788746391501,-1.27849012732361,-0.32,"ZH"
110,2.6179113268281,-0.80514861132431,1.7442942296596,1.5359601931247,-2.99702806655036,-0.88561290028837,-1.77510997216606,0.569999999999999,"ZH"
1101,-0.00722048009080112,-2.9801632247163,0.719584208417601,6.1744322281205,-0.61571406176398,-0.84340376752837,-1.4785690095131,-0.97,"SO"
1102,3.2772193546566,-3.9923531350267,0.648479046494201,4.0604520654751,-0.50105279772656,-0.85492405843525,-1.35335504388209,-1.28,"SO"
1103,3.3245569703905,-0.759234029926921,2.012042024786,3.2234466041136,-2.29275038654834,-0.30426975910002,-2.41786443772395,-2.79,"SO"
1104,3.9933087009254,-2.7871802378654,-0.296418092463398,5.6839106876446,-1.05236827734991,-1.54183995782034,-1.4733421452829,-2.53,"SO"
1105,1.5795828440205,-2.7135949563622,2.62785133242,5.1197452145831,-1.92458439900133,-1.26086284068356,-1.9791723049649,-1.45,"SO"
1106,3.0012228206354,-1.2274133891421,1.4254062769736,3.4336147126841,-2.25357967602708,-0.83599355900939,-2.4369197079104,-1.1,"SO"
1107,5.2869183757304,-4.8046413922863,2.2067090941685,3.1844239766187,-1.27056698592706,-0.73948265392793,-1.69133464505702,-2.17,"SO"
1108,2.7906426037677,-3.7346435368414,1.7222249827565,4.6397291118003,-1.49840065232687,-1.2482950684203,-1.83088326238225,-0.84,"SO"
1109,3.3044695487395,-2.9607366142857,6.071507997479,1.8807268428571,-1.89690948235294,-0.28514193672269,-3.7008404630252,-2.42,"SO"
111,3.5433796727914,-0.601271796378239,1.4875307240843,1.0985148823777,-2.4310722545918,-2.17939171139808,-1.31827276979295,0.399999999999999,"ZH"
1110,-2.5177602585903,-3.4395176097984,-0.0297002757442009,11.2689936120945,-1.47983221778,-0.69175421913363,-1.21163990822988,-1.89,"SO"
112,3.4466251309019,-1.12194160420812,2.7082257284832,-0.663797274496797,-2.9943234844825,-0.95947183700837,-2.2796947519385,1.87,"ZH"
1200,8.9987751052809,-0.104233164543269,4.1323712359205,1.1055403101413,-0.94768056721286,-1.11704460359169,-2.1454681767229,-9.92,"BS"
1301,5.0188980238773,0.897347985582899,-2.3873118491979,3.0405491804671,-2.25922891512946,-3.0366235311629,-0.875930333634001,-0.39,"BL"
1302,1.6007722473393,2.384066127426,-1.2842928617626,2.6971093081628,-1.81784226526366,-2.4556273107609,-0.93954106074645,-0.18,"BL"
1303,4.1258817367095,0.10925082277967,-2.0303006369194,3.6096218252865,-2.53536249439867,-3.84895234791306,1.9113818078457,-1.35,"BL"
1304,3.858287220127,0.52443266015325,-3.3219909788008,1.3035292123361,-1.76852473682536,-4.84490992463842,4.734824831694,-0.48,"BL"
1305,3.1059696365109,1.12864207531864,-0.733452734157698,2.75376559508199,-3.03433707812399,-4.90717890117048,1.8311522399989,-0.14,"BL"
1401,-3.0142671697851,-6.17026816,-1.6266176375474,2.4976441663717,0,0,2.57901390644753,5.74,"SH"
1402,0.7848651454246,-4.10565211,-6.6174804789993,6.4838688980909,0,0,3.12047399605003,0.34,"SH"
1403,0.104182751602899,-5.36124167,-6.2502906218551,6.8188686713553,0,0,3.93339893313999,0.75,"SH"
1404,0.375104528057602,-4.08083949,-1.8699024705036,-4.8196965604317,0,0,1.94244604316547,8.46,"SH"
1405,0.9220465886551,-6.2667642,-6.5302060396157,9.0182520580055,0,0,3.22506861848124,-0.37,"SH"
1406,7.808520960143,-4.84371272,-5.1733854432593,-3.0600200068617,0,0,1.42951396525181,3.84,"SH"
1501,-19.4536368171725,-12.4488933,23.174733388023,12.9815601120864,0,0,-4.75116312,0.5,"AR"
1502,-13.5610500015456,-9.0144635,30.2782071097372,-0.689804288253502,0,0,-7.83720148,0.83,"AR"
1503,-22.9165039650725,-9.62285714,35.7161027728313,2.88990809969469,0,0,-7.10857143,1.04,"AR"
1600,0,0.165811159657707,-2.2328493422983,0,0,0,0,2.06,"AI"
1721,1.2251336476328,-3.3918840153342,-1.6143851508807,2.7405358367959,-0.994751475043911,0.5358611605148,-0.68616951824138,2.19,"SG"
